iter	MAE
164	1816308.555
165	1815694.462
166	1815037.854
167	1813934.221
168	1813220.289
169	1812508.35
170	1811620.594
171	1810949.887
172	1810137.697
173	1809407.292
174	1808742.493
175	1808016.54
176	1807472.368
177	1806794.62
178	1806192.449
179	1805573.324
180	1805201.669
181	1804503.81
182	1803986.513
183	1803625.198
184	1803103.355
185	1802033.127
186	1801275.416
187	1800654.163
188	1800200.479
189	1799369.229
190	1798914.524
191	1798143.909
192	1797490.868
193	1797054.181
194	1796365.042
195	1795708.018
196	1794885.685
197	1794249.874
198	1793610.952
199	1793204.466
200	1792410.717
201	1791685.853
202	1791038.149
203	1790541.783
204	1790063.604
205	1789411.475
206	1788835.268
207	1788038.087
208	1787483.827
209	1786973.593
210	1786522.584
211	1785729.32
212	1785283.558
213	1784355.541
214	1783865.509
215	1783433.171
216	1783066.545
217	1782260.53
218	1781774.358
219	1781380.913
220	1780446.53
221	1780056.052
222	1779610.582
223	1779208.036
224	1778698.04
225	1777834.971
226	1777401.768
227	1776793.473
228	1776595.938
229	1776207.493
230	1775532.911
231	1775025.811
232	1774356.196
233	1773539.68
234	1772588.941
235	1772099.082
236	1771482.018
237	1770996.705
238	1770208.978
239	1769800.439
240	1769019.303
241	1768746.88
242	1768328.698
243	1767689.975
244	1767283.742
245	1766567.532
246	1765728.039
247	1764982.06
248	1764454.023
249	1763944.515
250	1763402.923
251	1762458.629
252	1761672.527
253	1761223.153
254	1760765.864
255	1760139.659
256	1759798.407
257	1759514.349
258	1759204.468
259	1758777.443
260	1758341.385
261	1757727.291
262	1757136.626
263	1756315.772
264	1755859.799
265	1755334.216
266	1754361.566
267	1753710.376
268	1753418.497
269	1752944.505
270	1752502.772
271	1752059.159
272	1751333.039
273	1751061.255
274	1750522.791
275	1749854.144
276	1749512.243
277	1748907.943
278	1748632.07
279	1748192.094
280	1747490.302
281	1746963.272
282	1746365.666
283	1745743.644
284	1745232.645
285	1744704.965
286	1744413.414
287	1743863.453
288	1743142.696
289	1742824.616
290	1742365.262
291	1741929.379
292	1741414.975
293	1740653.145
294	1740365.594
295	1739868.547
296	1739368.195
297	1738727.844
298	1738262.186
299	1737880.805
300	1737209.952
301	1736827.768
302	1736246.152
303	1735761.905
304	1735123.794
305	1734719.318
306	1734140.777
307	1733727.452
308	1733296.419
309	1732694.241
310	1732519.756
311	1732103.952
312	1731546.906
313	1731233.672
314	1730796.914
315	1730500.807
316	1729690.277
317	1729310.467
318	1728706.526
319	1728069.273
320	1727632.521
321	1727341.886
322	1726788.216
323	1725933.307
324	1725452.344
325	1724497.666
326	1723799.395
327	1723111.945
328	1722688.636
329	1722226.383
330	1721551.064
331	1720923.605
332	1720396.943
333	1720179.253
334	1719722.71
335	1719117.009
336	1718732.147
337	1718313.489
338	1717998.603
339	1717441.933
340	1717057.87
341	1716733.002
342	1716362.8
343	1715959.235
344	1715455.8
345	1714961.038
346	1714401.25
347	1713888.373
348	1713445.435
349	1713000.518
350	1712346.751
351	1711836.614
352	1711568.324
353	1711193.799
354	1710637.01
355	1709875.431
356	1709538.697
357	1708883.738
358	1708228.906
359	1707948.224
360	1707402.338
361	1707060.691
362	1706810.01
363	1706468.301
364	1705899.179
365	1705365.021
366	1704852.692
367	1704330.929
368	1703982.862
369	1703590.107
370	1703373.333
371	1702879.101
372	1702380.485
373	1701762.887
374	1701201.158
375	1700777.716
376	1700168.847
377	1699705.43
378	1699153.294
379	1698745.751
380	1698249.411
381	1697635.778
382	1696874.186
383	1696530.22
384	1696222.912
385	1695806.421
386	1695467.489
387	1695214.551
388	1694815.017
389	1694416.129
390	1694007.629
391	1693394.556
392	1692823.644
393	1692355.389
394	1692036.962
395	1691608.587
396	1691361.09
397	1690962.197
398	1690653.271
399	1689948.875
400	1689651.448
401	1689470.218
402	1688872.841
403	1688493.055
404	1688284.237
405	1687686.005
406	1686910.6
407	1686543.653
408	1686114.31
409	1685765.764
410	1685070.218
411	1684711.109
412	1684364.75
413	1683992.81
414	1683731.737
415	1683519.241
416	1682967.462
417	1682455.703
418	1682197.602
419	1681588.193
420	1681014.322
421	1680498.048
422	1680186.483
423	1679733.585
424	1679330.053
425	1679073.249
426	1678653.634
427	1678186.436
428	1677356.81
429	1676781.668
430	1676213.07
431	1675829.009
432	1675353.685
433	1674866.747
434	1674678.317
435	1674239.275
436	1673869.37
437	1673260.901
438	1672993.024
439	1672542.228
440	1672169.175
441	1671676.844
442	1671204.588
443	1670771.216
444	1670333.586
445	1670106.015
446	1669658.223
447	1669400.806
448	1668936.967
449	1668369.294
450	1668041.222
451	1667328.605
452	1667060.252
453	1666539.48
454	1666236.166
455	1665638.135
456	1665221.164
457	1665026.667
458	1664645.107
459	1663995.586
460	1663247.63
461	1663032.336
462	1662473.313
463	1661833.048
464	1661451.828
465	1660795.543
466	1660555.4
467	1660234.298
468	1659782.915
469	1659405.285
470	1659048.971
471	1658661.762
472	1658388.435
473	1658070.97
474	1657580.246
475	1657137.376
476	1656668.834
477	1656443.026
478	1656110
479	1655654.745
480	1655030.646
481	1654496.395
482	1654065.111
483	1653452.005
484	1653228.364
485	1652997.19
486	1652555.942
487	1652155.299
488	1651863.486
489	1651390.444
490	1651001.269
491	1650215.978
492	1649813.207
493	1649221.261
494	1648882.698
495	1648479.725
496	1648176.934
497	1648008.218
498	1647900.253
499	1647679.568
500	1647290.03
501	1646929.871
502	1646651.671
503	1646217.658
504	1645939.104
505	1645466.233
506	1645147.916
507	1644884.315
508	1644329.029
509	1643778.119
510	1643303.006
511	1642960.392
512	1642498.924
513	1641910.164
514	1641613.653
515	1641421.44
516	1641258.479
517	1641030.213
518	1640697.174
519	1640276.512
520	1639962.486
521	1639264.379
522	1638907.997
523	1638558.382
524	1637951.952
525	1637740.209
526	1637163.828
527	1636686.41
528	1636359.904
529	1636147.682
530	1635918.548
531	1635706.978
532	1635397.377
533	1634843.109
534	1634430.339
535	1633896.692
536	1633437.561
537	1633186.935
538	1632819.925
539	1632383.166
540	1632085.629
541	1631691.205
542	1631396.13
543	1630772.725
544	1630256.024
545	1629816.167
546	1629610.619
547	1629343.325
548	1629050.125
549	1628764.215
550	1628480.191
551	1627823.767
552	1627575.244
553	1627232.114
554	1626882.33
555	1626431.286
556	1626034.978
557	1625694.095
558	1625046.868
559	1624477.549
560	1624032.605
561	1623438.908
562	1623206.546
563	1622795.034
564	1622305.525
565	1621898.34
566	1621443.754
567	1621106.106
568	1620660.675
569	1620485.105
570	1620291.366
571	1620081.522
572	1619570.628
573	1619187.81
574	1618793.311
575	1618395.691
576	1617955.16
577	1617759.556
578	1617351.273
579	1617032.456
580	1616619.672
581	1616329.679
582	1616141.803
583	1615868.559
584	1615665.123
585	1615336.582
586	1614898.075
587	1614765.994
588	1614339.445
589	1613861.455
590	1613435.336
591	1613173.237
592	1612887.086
593	1612646.055
594	1612385.085
595	1611983.589
596	1611575.597
597	1611270.887
598	1610850.289
599	1610565.581
600	1610451.519
601	1610272.072
602	1609884.602
603	1609700.143
604	1609432.051
605	1609085.804
606	1608599.554
607	1608327.209
608	1608023.396
609	1607624.097
610	1607291.041
611	1606933.324
612	1606437.821
613	1606173.079
614	1606018.234
615	1605573.1
616	1605006.145
617	1604621.049
618	1604241.969
619	1603959.911
620	1603547.169
621	1603058.194
622	1602734.496
623	1602509.331
624	1602157.188
625	1601780.07
626	1601465.712
627	1601274.838
628	1601032.977
629	1600464.749
630	1600133.439
631	1599431.124
632	1599113.868
633	1598821.084
634	1598451.11
635	1598284.728
636	1598001.577
637	1597857.164
638	1597561.08
639	1597131.309
640	1596838.689
641	1596431.666
642	1595895.218
643	1595712.119
644	1595510.192
645	1595302.863
646	1595013.738
647	1594862.088
648	1594407.282
649	1594015.93
650	1593467.075
651	1593088.923
652	1592788.459
653	1592593.099
654	1592054.319
655	1591937.281
656	1591761.682
657	1591253.512
658	1591121.51
659	1590726.791
660	1590347.395
661	1590199.202
662	1589948.413
663	1589731.816
664	1589411.311
665	1588996.275
666	1588657.771
667	1588174.136
668	1587663.919
669	1587236.544
670	1586868.117
671	1586609.745
672	1586378.656
673	1585921.98
674	1585783.459
675	1585694.395
676	1585309.6
677	1584861.474
678	1584332.264
679	1584101.334
680	1583714.413
681	1583397.267
682	1583082.567
683	1582730.212
684	1582262.413
685	1581903.809
686	1581540.338
687	1581267.654
688	1580999.637
689	1580697.568
690	1580350.029
691	1580008.39
692	1579611.765
693	1579183.605
694	1578951.491
695	1578697.501
696	1578446.607
697	1578014.631
698	1577640.618
699	1577430.276
700	1577224.327
701	1576728.376
702	1576547.33
703	1576336.196
704	1575982.418
705	1575708.779
706	1575478.446
707	1575194.56
708	1575011.035
709	1574724.186
710	1574428.474
711	1574071.301
712	1573827.14
713	1573465.959
714	1573269.175
715	1573023.181
716	1572666.472
717	1572504.278
718	1572084.376
719	1571882.158
720	1571527.68
721	1571346.723
722	1571079.094
723	1570969.063
724	1570634.05
725	1570172.305
726	1569807.775
727	1569328.635
728	1569074.435
729	1568731.085
730	1568572.126
731	1568169.422
732	1567689.505
733	1567227.45
734	1566830.746
735	1566506.471
736	1566216.663
737	1566030.713
738	1565828.688
739	1565253.373
740	1565035.142
741	1564778.186
742	1564370.149
743	1564123.727
744	1563782.37
745	1563504.672
746	1563329.921
747	1562788.133
748	1562616.367
749	1562401.481
750	1562109.357
751	1561757.221
752	1561416.298
753	1560946.658
754	1560481.156
755	1560264.33
756	1559731.104
757	1559461.579
758	1559118.47
759	1558861.047
760	1558658.312
761	1558213.026
762	1557750.432
763	1557529.047
764	1557462.287
765	1557199.75
766	1556929.202
767	1556668.057
768	1556410.086
769	1556260.626
770	1555707.391
771	1555495.27
772	1555307.704
773	1554952.284
774	1554596.894
775	1554252.404
776	1553798.774
777	1553306.105
778	1553066.782
779	1552742.502
780	1552469.963
781	1552014.924
782	1551809.959
783	1551438.796
784	1551295.674
785	1551095.941
786	1550805.246
787	1550590.315
788	1550210.842
789	1549908.897
790	1549671.832
791	1549490.922
792	1549222.529
793	1548902.97
794	1548686.962
795	1548308.307
796	1548112.658
797	1547789.1
798	1547654.602
799	1547490.168
800	1547112.873
801	1546810.81
802	1546449.025
803	1546203.868
804	1545919.037
805	1545725.358
806	1545579.045
807	1545256.9
808	1544992.558
809	1544840.461
810	1544598.973
811	1544362.26
812	1544217.82
813	1543861.861
814	1543605.714
815	1543090.275
816	1542895.425
817	1542514.325
818	1542063.795
819	1541873.825
820	1541671.475
821	1541223.955
822	1540755.189
823	1540508.661
824	1540311.849
825	1540190.277
826	1540054.532
827	1539793.572
828	1539591.804
829	1539188.787
830	1538785.473
831	1538592.817
832	1538487.608
833	1538350.358
834	1538023.648
835	1537651.771
836	1537157.874
837	1536834.655
838	1536450.702
839	1536184.797
840	1535998.955
841	1535585.408
842	1535483.398
843	1535257.942
844	1534844.611
845	1534678.636
846	1534309.447
847	1533889.662
848	1533787.692
849	1533576.202
850	1533337.959
851	1533218.229
852	1533026.138
853	1532777.094
854	1532424.775
855	1531807.173
856	1531606.325
857	1531244.857
858	1530984.941
859	1530682.381
860	1530615.169
861	1530329.914
862	1530149.913
863	1529940.474
864	1529734.44
865	1529543.498
866	1529410.651
867	1529203.37
868	1528915.032
869	1528574.555
870	1528453.01
871	1528379.537
872	1528168.825
873	1527835.029
874	1527634.364
875	1527369.224
876	1527043.024
877	1526851.149
878	1526632.94
879	1526417.317
880	1526211.419
881	1525770.77
882	1525433.754
883	1525186.63
884	1524965.703
885	1524756.689
886	1524440.368
887	1524000.668
888	1523657.107
889	1523269.234
890	1522978.858
891	1522705.427
892	1522598.847
893	1522347.029
894	1522150.539
895	1522006.881
896	1521816.194
897	1521580.804
898	1521445.34
899	1521078.862
900	1520821.099
901	1520535.059
902	1520127.798
903	1519945.204
904	1519639.629
905	1519488.693
906	1519287.672
907	1519163.538
908	1518940.425
909	1518423.347
910	1518200.772
911	1517974.024
912	1517423.638
913	1517140.999
914	1516961.308
915	1516797.897
916	1516391.962
917	1516070.984
918	1515841.264
919	1515646.162
920	1515349.831
921	1515158.275
922	1514851.917
923	1514435.72
924	1514266.36
925	1513801.207
926	1513657.769
927	1513432.721
928	1513226.295
929	1512963.184
930	1512731.802
931	1512408.753
932	1512268.6
933	1511989.276
934	1511855.836
935	1511668.309
936	1511458.272
937	1511267.655
938	1511083.034
939	1510842.22
940	1510687.819
941	1510417.601
942	1510209.75
943	1509793.429
944	1509605.508
945	1508943.712
946	1508733.059
947	1508536.211
948	1508315.119
949	1508011.311
950	1507800.719
951	1507540.865
952	1507264.901
953	1507011.493
954	1506833.92
955	1506505.974
956	1506202.206
957	1506052.095
958	1505769.12
959	1505436.051
960	1505242.185
961	1504999.304
962	1504774.471
963	1504662.042
964	1504509.102
965	1504248.868
966	1504067.557
967	1503819.249
968	1503463.44
969	1503271.022
970	1503103.561
971	1502829.647
972	1502375.253
973	1502211.501
974	1502030.141
975	1501901.157
976	1501645.869
977	1501363.172
978	1501152.878
979	1500836.516
980	1500558.263
981	1500297.845
982	1500142.324
983	1499912.412
984	1499726.17
985	1499617.319
986	1499300.847
987	1499120.895
988	1498751.747
989	1498444.067
990	1498161.459
991	1497996.316
992	1497754.852
993	1497499.123
994	1497282.797
995	1496994.344
996	1496874.071
997	1496700.136
998	1496404.138
999	1496220.148
1000	1495962.604
1001	1495744.013
1002	1495257.032
1003	1495004.744
1004	1494822.981
1005	1494502.793
1006	1494249.672
1007	1494055.427
1008	1493824.995
1009	1493575.64
1010	1493335.17
1011	1493083.222
1012	1492862.927
1013	1492638.283
1014	1492480.203
1015	1492231.044
1016	1491979.895
1017	1491677.819
1018	1491332.025
1019	1491138.471
1020	1490876.789
1021	1490608.992
1022	1490436.899
1023	1490172.871
1024	1489925.427
1025	1489675.326
1026	1489503.37
1027	1489291.172
1028	1489029.649
1029	1488900.116
1030	1488774.816
1031	1488561.007
1032	1488300.53
1033	1487886.064
1034	1487571.77
1035	1487211.665
1036	1486828.833
1037	1486598.754
1038	1486491.639
1039	1486290.826
1040	1486140.545
1041	1486004.242
1042	1485853.418
1043	1485569.326
1044	1485375.569
1045	1485248.16
1046	1485118.072
1047	1484800.567
1048	1484654.308
1049	1484436.68
1050	1484082.142
1051	1483818.423
1052	1483557.364
1053	1483235.473
1054	1483036.131
1055	1482926.157
1056	1482730.062
1057	1482336.201
1058	1482031.358
1059	1481879.108
1060	1481758.881
1061	1481611.216
1062	1481411.729
1063	1481293.241
1064	1480910.081
1065	1480769.073
1066	1480467.694
1067	1480214.829
1068	1480056.235
1069	1479746.916
1070	1479542.04
1071	1479427.574
1072	1479276.256
1073	1479015.345
1074	1478882.078
1075	1478622.967
1076	1478312.987
1077	1477996.349
1078	1477689.863
1079	1477470.78
1080	1477305.902
1081	1477145.593
1082	1476964.989
1083	1476700.741
1084	1476393.395
1085	1476227.576
1086	1476084.145
1087	1475673.392
1088	1475416.593
1089	1474978.771
1090	1474812.416
1091	1474319.794
1092	1473959.896
1093	1473691.2
1094	1473501.965
1095	1473292.698
1096	1473052.321
1097	1472898.722
1098	1472615.201
1099	1472352.32
1100	1472231.866
1101	1471954.669
1102	1471733.176
1103	1471551.453
1104	1471289.271
1105	1470983.215
1106	1470727.828
1107	1470567.797
1108	1470415.064
1109	1470125.468
1110	1469878.68
1111	1469505.655
1112	1469363.653
1113	1469120.484
1114	1468975.327
1115	1468844.405
1116	1468664.108
1117	1468516.685
1118	1468270.107
1119	1468065.556
1120	1467910.494
1121	1467636.096
1122	1467559.511
1123	1467357.916
1124	1467230.889
1125	1467152.863
1126	1466913.473
1127	1466663.354
1128	1466444.105
1129	1466182.633
1130	1466039.52
1131	1465806.517
1132	1465446.733
1133	1465223.16
1134	1464995.399
1135	1464726.815
1136	1464525.816
1137	1464322.682
1138	1464119.296
1139	1463919.191
1140	1463801.336
1141	1463690.752
1142	1463377.321
1143	1463272.664
1144	1463073.435
1145	1462959.35
1146	1462780.473
1147	1462649.044
1148	1462396.463
1149	1462228.465
1150	1462029.416
1151	1461851.094
1152	1461527.901
1153	1461421.668
1154	1461142.764
1155	1460913.642
1156	1460608.703
1157	1460460.733
1158	1460222.976
1159	1459968.905
1160	1459726.909
1161	1459643.583
1162	1459501.385
1163	1459313.764
1164	1459167.219
1165	1459059.379
1166	1458664.23
1167	1458401.6
1168	1458111.028
1169	1457845.28
1170	1457506.684
1171	1457319.191
1172	1457110.504
1173	1457031.924
1174	1456816.941
1175	1456713.768
1176	1456557.962
1177	1456435.042
1178	1456050.739
1179	1455814.634
1180	1455539.012
1181	1455272.175
1182	1455117.848
1183	1454725.512
1184	1454486.322
1185	1454214.925
1186	1454108.046
1187	1453840.714
1188	1453709.808
1189	1453462.064
1190	1453173.419
1191	1453023.224
1192	1452945.303
1193	1452701.643
1194	1452493.541
1195	1452184.736
1196	1451934.67
1197	1451608.934
1198	1451457.332
1199	1451145.28
1200	1450883.668
1201	1450591.108
1202	1450426.677
1203	1450348.122
1204	1450129.888
1205	1449842.403
1206	1449452.606
1207	1449341.134
1208	1449121.941
1209	1449001.532
1210	1448930.21
1211	1448720.557
1212	1448593.289
1213	1448463.27
1214	1448359.968
1215	1448150.089
1216	1447887.985
1217	1447746.834
1218	1447501.092
1219	1447360.851
1220	1447030.694
1221	1446744.768
1222	1446611.713
1223	1446462.919
1224	1446328.481
1225	1446229.325
1226	1446018.496
1227	1445778.171
1228	1445614.723
1229	1445450.611
1230	1445266.107
1231	1445175.166
1232	1444990.197
1233	1444706.227
1234	1444598.557
1235	1444513.913
1236	1444366.749
1237	1444205.661
1238	1444094.348
1239	1443788.797
1240	1443678.39
1241	1443544.164
1242	1443382.497
1243	1443218.569
1244	1443116.056
1245	1442860.868
1246	1442553.989
1247	1442305.984
1248	1442224.568
1249	1442077.007
1250	1441949.755
1251	1441795.512
1252	1441547.917
1253	1441306.634
1254	1441125.02
1255	1441041.168
1256	1440844.156
1257	1440582.494
1258	1440444.941
1259	1440236.258
1260	1439992.712
1261	1439711.47
1262	1439451.861
1263	1439312.292
1264	1439077.322
1265	1438869.249
1266	1438702.479
1267	1438459.022
1268	1438237.313
1269	1437911.773
1270	1437775.589
1271	1437561
1272	1437364.298
1273	1437167.609
1274	1436987.759
1275	1436810.626
1276	1436587.219
1277	1436417.43
1278	1436266.692
1279	1436070.411
1280	1435792.096
1281	1435418.238
1282	1435230.217
1283	1435064.385
1284	1434855.678
1285	1434665.473
1286	1434495.011
1287	1434108.585
1288	1433940.996
1289	1433797.5
1290	1433679.184
1291	1433582.247
1292	1433237.155
1293	1433146.93
1294	1433038.707
1295	1432913.854
1296	1432623.486
1297	1432384.501
1298	1432262.247
1299	1432074.386
1300	1431996.383
1301	1431852.334
1302	1431561.128
1303	1431460.427
1304	1431245.531
1305	1431072.701
1306	1430955.098
1307	1430735.963
1308	1430506.604
1309	1430317.837
1310	1430148.487
1311	1429927.776
1312	1429574.119
1313	1429493.185
1314	1429342.666
1315	1429149.542
1316	1429022.187
1317	1428849.429
1318	1428692.588
1319	1428304.315
1320	1428013.833
1321	1427922.851
1322	1427624.914
1323	1427303.267
1324	1427149.906
1325	1426729.019
1326	1426516.884
1327	1426236.817
1328	1426118.002
1329	1425650.778
1330	1425494.246
1331	1425180.063
1332	1424980.224
1333	1424845.696
1334	1424545.382
1335	1424315.616
1336	1424096.32
1337	1423938.303
1338	1423737.842
1339	1423496.489
1340	1423240.998
1341	1423080.075
1342	1422880.203
1343	1422702.839
1344	1422416.433
1345	1422225.639
1346	1421886.419
1347	1421706.597
1348	1421322.981
1349	1421088.182
1350	1420921.209
1351	1420753.542
1352	1420551.552
1353	1420344.403
1354	1420169.276
1355	1419933.9
1356	1419784.746
1357	1419627.522
1358	1419384.266
1359	1419144.697
1360	1418991.186
1361	1418818.474
1362	1418620.041
1363	1418497.662
1364	1418307.117
1365	1418111.196
1366	1417995.535
1367	1417803.415
1368	1417636.842
1369	1417444.685
1370	1417268.681
1371	1417151.015
1372	1417006.711
1373	1416872.334
1374	1416755.448
1375	1416653.71
1376	1416308.977
1377	1416152.98
1378	1415833.847
1379	1415706.835
1380	1415530.074
1381	1415287.577
1382	1414925.896
1383	1414810.868
1384	1414640.596
1385	1414500.374
1386	1414332.85
1387	1414132.891
1388	1413871.163
1389	1413619.828
1390	1413497.562
1391	1413323.677
1392	1413230.288
1393	1413047.144
1394	1412884.362
1395	1412577.107
1396	1412385.414
1397	1412068.798
1398	1412002.948
1399	1411895.514
1400	1411674.74
1401	1411513.84
1402	1411237.031
1403	1410875.63
1404	1410666.774
1405	1410578.291
1406	1410510.906
1407	1410292.713
1408	1410203.728
1409	1410016.596
1410	1409820.552
1411	1409727.989
1412	1409607.511
1413	1409437.499
1414	1409168.373
1415	1408944.96
1416	1408858.73
1417	1408652.341
1418	1408535.459
1419	1408218.601
1420	1408116.193
1421	1407931.856
1422	1407635.007
1423	1407344.568
1424	1407230.382
1425	1407037.136
1426	1406927.049
1427	1406783.005
1428	1406587.617
1429	1406463.834
1430	1406367.038
1431	1406242.568
1432	1406078.904
1433	1405965.552
1434	1405870.404
1435	1405787.999
1436	1405666.555
1437	1405518.704
1438	1405403.034
1439	1405159.696
1440	1404876.351
1441	1404781.578
1442	1404609.942
1443	1404325.488
1444	1404232.172
1445	1404034.098
1446	1403908.564
1447	1403809.856
1448	1403755.909
1449	1403595.034
1450	1403356.567
1451	1403187.278
1452	1403074.856
1453	1402947.432
1454	1402792.927
1455	1402697.367
1456	1402502.497
1457	1402286.766
1458	1402211.596
1459	1402002.382
1460	1401755.67
1461	1401657.801
1462	1401302.418
1463	1401256.215
1464	1401154.999
1465	1401048.383
1466	1400914.437
1467	1400699.977
1468	1400487.651
1469	1400295.946
1470	1400131.236
1471	1400051.467
1472	1399990.574
1473	1399732.115
1474	1399589.232
1475	1399444.199
1476	1399316.708
1477	1399232.069
1478	1399077.673
1479	1398873.202
1480	1398734.525
1481	1398596.144
1482	1398451.074
1483	1398351.182
1484	1398059.063
1485	1397810.39
1486	1397654.913
1487	1397349.037
1488	1397216.112
1489	1397100.109
1490	1396977.094
1491	1396882.975
1492	1396809.539
1493	1396662.278
1494	1396555.318
